Num          Origin          Destination                 Flow
99             2               13                        3.30
100            10              3                         3.30
101            1               20                        3.30
102            17              21                        6.60
103            18              7                         2.20
104            11              18                        1.10
105            10              18                        7.70
106            20              2                         1.10
107            19              16                       14.30
108            14              21                        4.40
109            9               22                        7.70
110            3               4                         2.20
111            11              12                       15.40
112            9               18                        2.20
113            16              7                        15.40
114            15              12                        7.70
115            13              18                        1.10
116            17              16                       30.80
117            2               14                        1.10
118            8               12                        6.60
119            17              3                         1.10
120            16              9                        15.40
121            17              1                         4.40
122            22              21                       19.80
123            14              2                         1.10
124            19              6                         2.20
125            6               18                        1.10
126            15              16                       13.20
127            13              8                         6.60
128            9               17                        9.90
129            9               1                         5.50
130            8               5                         5.50
131            11              16                       15.40
132            9               19                        4.40
133            3               7                         1.10
134            16              18                        5.50
135            19              21                        4.40
136            11              15                       15.40
137            2               3                         1.10
138            11              17                       11.00
139            14              13                        6.60
140            13              4                         6.60
141            21              6                         1.10
142            13              12                       14.30
143            4               17                        5.50
144            3               22                        1.10
145            4               1                         5.50
146            11              10                       42.90
147            16              4                         8.80
148            14              18                        1.10
149            24              6                         1.10
150            24              11                        6.60
151            14              9                         6.60
152            15              11                       15.40
153            15              24                        4.40
154            21              10                       13.20
155            9               24                        2.20
156            14              1                         3.30
157            1               4                         5.50
158            20              15                       12.10
159            11              24                        6.60
160            19              23                        3.30
161            12              8                         6.60
162            2               20                        1.10
163            1               18                        1.10
164            9               23                        5.50
165            13              20                        6.60
166            17              19                       18.70
167            17              10                       42.90
168            19              15                        8.80
169            21              1                         1.10
170            22              11                       12.10
171            7               4                         4.40
172            9               6                         4.40
173            21              16                        6.60
174            5               4                         5.50
175            11              1                         5.50
176            8               14                        4.40
177            5               3                         1.10
178            1               2                         1.10
179            19              4                         2.20
180            13              11                       11.00
181            23              3                         1.10
182            17              7                        11.00
183            23              22                       23.10
184            7               13                        4.40
185            21              15                        8.80
186            24              4                         2.20
187            18              20                        4.40
188            2               12                        1.10
189            1               19                        3.30
190            3               8                         2.20
191            19              2                         1.10
192            22              20                       26.40
193            4               3                         2.20
194            19              18                        3.30
195            15              4                         5.50
196            15              1                         5.50
197            20              14                        5.50
198            17              15                       16.50
199            14              22                       13.20
200            2               11                        2.20
201            15              20                       12.10
202            13              22                       14.30
203            6               12                        2.20
204            18              16                        5.50
205            16              22                       13.20
206            24              16                        3.30
207            10              6                         8.80
208            1               11                        5.50
209            20              13                        6.60
210            13              21                        6.60
211            7               16                       15.40
212            3               9                         1.10
213            17              2                         2.20
214            20              6                         3.30
215            23              21                        7.70
216            12              3                         2.20
217            16              20                       17.60
218            5               11                        5.50
219            4               16                        8.80
220            20              8                         9.90
221            19              9                         4.40
222            12              7                         7.70
223            19              7                         4.40
224            10              16                       48.40
225            17              11                       11.00
226            10              20                       27.50
227            5               22                        2.20
228            15              17                       16.50
229            23              15                       11.00
230            12              9                         6.60
231            24              1                         1.10
232            12              19                        3.30
233            11              13                       11.00
234            22              14                       13.20
235            16              5                         5.50
236            22              18                        3.30
237            21              5                         1.10
238            7               10                       20.90
239            4               8                         7.70
240            19              14                        3.30
241            2               10                        6.60
242            20              16                       17.60
243            4               2                         2.20
244            7               17                       11.00
245            2               8                         4.40
246            23              11                       14.30
247            17              12                        6.60
248            10              9                        30.80
249            9               16                       15.40
250            24              7                         1.10
251            16              14                        7.70
252            23              18                        1.10
253            7               23                        2.20
254            12              10                       22.00
255            6               14                        1.10
256            7               24                        1.10
257            12              15                        7.70
258            8               13                        6.60
259            1               10                       14.30
260            7               15                        5.50
261            21              22                       19.80
262            20              21                       13.20
263            13              17                        5.50
264            9               2                         2.20
265            10              1                        14.30
266            21              24                        5.50
267            13              15                        7.70
268            19              1                         3.30
269            23              19                        3.30
270            9               11                       15.40
271            24              8                         2.20
272            10              15                       44.00
273            5               23                        1.10
274            2               9                         2.20
275            17              6                         5.50
276            14              5                         1.10
277            13              10                       20.90
278            15              5                         2.20
279            20              10                       27.50
280            19              8                         7.70
281            11              3                         3.30
282            3               14                        1.10
283            12              1                         2.20
284            14              20                        5.50
285            10              22                       28.60
286            14              11                       17.60
287            6               7                         4.40
288            22              17                       18.70
289            20              4                         3.30
290            23              24                        7.70
291            6               21                        1.10
292            17              4                         5.50
293            12              4                         6.60
294            1               22                        4.40
295            17              23                        6.60
296            18              17                        6.60
297            20              24                        4.40
298            7               8                        11.00
299            4               13                        6.60
300            22              1                         4.40
301            24              20                        4.40
302            10              23                       19.80
303            19              13                        3.30
304            2               16                        4.40
305            14              17                        7.70
306            1               17                        4.40
307            12              2                         1.10
308            17              5                         2.20
309            17              13                        5.50
310            2               6                         4.40
311            12              21                        3.30
312            7               1                         5.50
313            22              7                         5.50
314            21              18                        1.10
315            15              18                        2.20
316            15              9                        11.00
317            7               20                        5.50
318            8               18                        3.30
319            11              19                        4.40
320            8               20                        9.90
321            12              22                        7.70
322            7               21                        2.20
323            5               17                        2.20
324            2               17                        2.20
325            21              8                         4.40
326            21              19                        4.40
327            16              12                        7.70
328            1               24                        1.10
329            3               17                        1.10
330            17              20                       18.70
331            10              8                        17.60
332            8               15                        6.60
333            6               24                        1.10
334            15              21                        8.80
335            1               5                         2.20
336            6               1                         3.30
337            8               19                        7.70
338            23              6                         1.10
339            24              9                         2.20
340            6               4                         4.40
341            4               6                         4.40
342            22              8                         5.50
343            6               23                        1.10
344            24              23                        7.70
345            20              22                       26.40
346            4               23                        5.50
347            24              14                        4.40
348            21              20                       13.20
349            17              14                        7.70
350            2               7                         2.20
351            22              24                       12.10
352            15              23                       11.00
353            1               13                        5.50
354            22              15                       28.60
355            12              20                        4.40
356            11              20                        6.60
357            24              22                       12.10
358            3               13                        1.10
359            22              19                       13.20
360            4               19                        2.20
361            17              9                         9.90
362            8               4                         7.70
363            9               10                       30.80
364            10              12                       22.00
365            14              16                        7.70
366            7               5                         2.20
367            22              3                         1.10
368            15              2                         1.10
369            20              9                         6.60
370            8               16                       24.20
371            14              10                       23.10
372            11              2                         2.20
373            15              22                       28.60
374            22              2                         1.10
375            12              13                       14.30
376            5               10                       11.00
377            3               2                         1.10
378            4               11                       15.40
379            9               15                        9.90
380            11              6                         4.40
381            10              4                        13.20
382            5               19                        1.10
383            18              15                        2.20
384            7               18                        2.20
385            6               5                         2.20
386            18              8                         3.30
387            11              5                         5.50
388            9               14                        6.60
389            3               23                        1.10
390            16              24                        3.30
391            14              3                         1.10
392            1               3                         1.10
393            3               10                        3.30
394            15              3                         1.10
395            21              4                         2.20
396            3               6                         3.30
397            21              13                        6.60
398            22              9                         7.70
399            13              16                        6.60
400            6               19                        2.20
